<Header name=env>	06A	06A	06A	06A	06A
<Use>	data	data	data	data	data
<Format>	num	num	num	num	num
<Trait>	PlantHeight	EarHeight	EarLength	EarRowNumber	20KernelWeight
Z022E0215	NaN	NaN	NaN	NaN	NaN
Z022E0219	NaN	NaN	NaN	NaN	NaN
Z022E0221	NaN	NaN	NaN	NaN	NaN
Z022E0272	NaN	NaN	NaN	NaN	NaN
Z023E0001	125.0	45.0	169.0	16.0	2.1
Z023E0002	145.0	65.0	171.0	14.0	4.5
Z023E0003	160.0	70.0	127.0	16.0	2.7
Z023E0004	200.0	95.0	156.5	19.0	3.6
Z023E0005	170.0	70.0	167.0	18.0	4.7
Z023E0006	135.0	60.0	154.0	16.0	3.5
Z023E0007	110.0	40.0	114.0	14.0	NaN
Z023E0008	175.0	80.0	150.0	16.0	2.4
Z023E0009	160.0	60.0	102.0	19.0	2.1
Z023E0010	175.0	90.0	151.0	17.0	3.6
Z023E0011	105.0	40.0	NaN	NaN	NaN
Z023E0012	135.0	50.0	150.0	14.0	4.1
Z023E0013	150.0	65.0	NaN	NaN	NaN
Z023E0014	145.0	50.0	NaN	NaN	NaN
Z023E0015	NaN	NaN	84.0	16.0	2.8
Z023E0016	155.0	65.0	110.5	16.0	2.5
Z023E0017	140.0	50.0	130.0	18.0	3.6
Z023E0018	130.0	50.0	178.0	16.0	3.4
Z023E0019	115.0	40.0	171.0	15.0	4.1
Z023E0020	170.0	60.0	NaN	NaN	NaN
Z023E0021	140.0	60.0	100.0	20.0	2.5
Z023E0022	160.0	70.0	128.0	18.0	4.4
Z023E0023	125.0	30.0	138.0	16.0	3.1
Z023E0024	130.0	50.0	128.0	16.0	3.1
Z023E0025	130.0	40.0	159.5	17.0	4.7
Z023E0026	135.0	45.0	145.0	14.5	4.0
Z023E0027	120.0	40.0	138.5	17.0	3.0
Z023E0028	170.0	70.0	135.0	16.0	4.8
Z023E0029	160.0	65.0	148.0	15.5	2.75
Z023E0030	135.0	60.0	NaN	NaN	NaN
Z023E0031	155.0	65.0	188.0	19.0	5.35
Z023E0032	140.0	45.0	99.5	18.0	2.3
Z023E0033	180.0	95.0	173.0	20.0	4.5
Z023E0034	135.0	50.0	111.0	18.0	3.8
Z023E0035	155.0	50.0	155.0	20.0	4.3
Z023E0036	170.0	65.0	133.0	16.0	3.3
Z023E0037	135.0	40.0	131.0	16.0	4.2
Z023E0038	165.0	60.0	157.0	16.0	3.6
Z023E0039	170.0	65.0	136.0	16.0	3.3
Z023E0040	125.0	45.0	NaN	NaN	NaN
Z023E0041	145.0	60.0	109.0	13.0	2.8
Z023E0042	135.0	55.0	163.0	20.0	4.3
Z023E0043	135.0	55.0	129.0	18.0	2.8
Z023E0044	140.0	65.0	119.0	14.0	3.1
Z023E0045	135.0	70.0	112.0	22.0	2.6
Z023E0046	160.0	80.0	135.0	17.0	4.5
Z023E0047	160.0	75.0	161.5	15.0	3.1
Z023E0048	165.0	65.0	113.0	16.0	2.8
Z023E0049	160.0	75.0	141.0	23.0	3.0
Z023E0050	125.0	55.0	NaN	NaN	NaN
Z023E0051	150.0	75.0	167.0	18.0	4.0
Z023E0052	155.0	60.0	NaN	NaN	NaN
Z023E0053	140.0	55.0	141.0	NaN	NaN
Z023E0054	130.0	55.0	NaN	NaN	NaN
Z023E0055	135.0	55.0	117.0	NaN	2.2
Z023E0056	155.0	60.0	222.0	14.0	3.9
Z023E0057	150.0	65.0	115.0	18.0	4.2
Z023E0058	130.0	45.0	142.0	18.0	3.1
Z023E0059	120.0	50.0	116.0	16.0	3.6
Z023E0060	150.0	55.0	120.0	22.0	2.7
Z023E0061	110.0	50.0	NaN	NaN	NaN
Z023E0062	120.0	45.0	NaN	NaN	NaN
Z023E0063	150.0	65.0	110.5	16.0	3.0
Z023E0064	NaN	NaN	NaN	NaN	NaN
Z023E0065	NaN	NaN	NaN	NaN	NaN
Z023E0066	150.0	50.0	NaN	NaN	NaN
Z023E0067	185.0	90.0	151.0	16.0	3.5
Z023E0068	130.0	50.0	NaN	NaN	NaN
Z023E0069	120.0	50.0	NaN	NaN	NaN
Z023E0070	175.0	65.0	137.0	14.0	3.0
Z023E0071	110.0	35.0	126.0	16.0	2.4
Z023E0072	125.0	45.0	170.0	12.0	3.8
Z023E0073	185.0	70.0	136.0	22.0	4.5
Z023E0074	105.0	45.0	NaN	NaN	NaN
Z023E0075	165.0	80.0	146.0	16.0	2.7
Z023E0076	175.0	60.0	133.0	16.0	4.1
Z023E0077	115.0	50.0	NaN	NaN	NaN
Z023E0078	175.0	90.0	114.0	17.0	3.1
Z023E0079	165.0	60.0	148.0	18.0	3.3
Z023E0080	150.0	75.0	124.0	18.0	3.8
Z023E0081	135.0	55.0	171.0	17.0	2.6
Z023E0082	115.0	20.0	143.0	16.0	2.0
Z023E0083	125.0	50.0	99.0	NaN	2.4
Z023E0084	160.0	65.0	161.0	16.0	2.5
Z023E0085	190.0	90.0	149.0	18.0	2.8
Z023E0086	150.0	60.0	85.0	12.0	0.9
Z023E0087	110.0	40.0	97.0	16.0	2.4
Z023E0088	145.0	55.0	NaN	NaN	3.5
Z023E0089	175.0	90.0	139.0	18.0	4.3
Z023E0090	125.0	55.0	66.0	13.0	2.6
Z023E0091	NaN	NaN	NaN	NaN	NaN
Z023E0092	140.0	55.0	149.0	16.0	2.8
Z023E0093	140.0	60.0	123.0	16.0	2.3
Z023E0094	135.0	50.0	186.0	16.0	2.9
Z023E0095	140.0	60.0	147.0	12.0	4.5
Z023E0096	160.0	70.0	126.0	18.0	3.8
Z023E0097	120.0	35.0	NaN	NaN	NaN
Z023E0098	140.0	55.0	176.0	16.0	3.0
Z023E0099	150.0	75.0	168.0	16.0	4.3
Z023E0100	120.0	45.0	NaN	NaN	4.6
Z023E0101	140.0	50.0	145.5	17.0	2.6
Z023E0102	170.0	75.0	161.0	16.0	2.6
Z023E0103	165.0	85.0	120.0	19.0	2.2
Z023E0104	135.0	50.0	138.0	20.0	2.8
Z023E0105	180.0	85.0	207.0	18.0	4.2
Z023E0106	85.0	30.0	NaN	NaN	NaN
Z023E0107	110.0	40.0	108.0	16.0	2.6
Z023E0108	125.0	50.0	NaN	NaN	3.4
Z023E0109	150.0	55.0	150.0	15.0	4.25
Z023E0110	160.0	55.0	110.0	16.0	2.3
Z023E0111	110.0	40.0	119.5	16.0	3.45
Z023E0112	150.0	55.0	157.0	18.0	3.6
Z023E0113	140.0	45.0	108.0	16.0	4.1
Z023E0114	170.0	80.0	172.0	16.0	4.3
Z023E0115	140.0	40.0	136.5	16.0	3.45
Z023E0116	150.0	75.0	135.0	14.0	3.5
Z023E0117	155.0	65.0	138.0	16.0	3.7
Z023E0118	135.0	55.0	103.0	16.0	5.2
Z023E0119	105.0	30.0	104.0	14.0	2.6
Z023E0120	190.0	95.0	149.5	16.0	5.4
Z023E0121	105.0	45.0	NaN	NaN	NaN
Z023E0122	155.0	70.0	NaN	NaN	NaN
Z023E0123	155.0	50.0	164.0	20.0	2.5
Z023E0124	135.0	60.0	194.5	14.0	3.0
Z023E0125	155.0	70.0	120.0	16.0	4.1
Z023E0126	160.0	75.0	122.5	17.0	4.05
Z023E0127	145.0	55.0	NaN	NaN	NaN
Z023E0128	175.0	90.0	132.5	15.0	5.15
Z023E0129	160.0	65.0	148.0	18.0	4.5
Z023E0130	150.0	55.0	158.0	16.0	NaN
Z023E0131	140.0	50.0	133.0	18.0	3.4
Z023E0132	175.0	85.0	186.0	16.0	4.2
Z023E0133	110.0	55.0	116.0	16.0	2.5
Z023E0134	105.0	50.0	143.0	16.0	2.9
Z023E0135	165.0	70.0	141.0	18.0	2.9
Z023E0136	145.0	60.0	163.0	14.0	2.8
Z023E0137	165.0	75.0	NaN	NaN	NaN
Z023E0138	115.0	55.0	106.0	17.0	3.9
Z023E0139	145.0	65.0	NaN	NaN	NaN
Z023E0140	130.0	45.0	138.0	14.0	4.5
Z023E0141	150.0	65.0	167.0	16.0	2.8
Z023E0142	135.0	55.0	141.0	16.0	3.8
Z023E0143	155.0	60.0	143.0	16.0	6.2
Z023E0144	165.0	65.0	162.0	16.0	3.5
Z023E0145	135.0	60.0	140.0	14.0	3.9
Z023E0146	130.0	55.0	154.0	20.0	3.4
Z023E0147	130.0	55.0	119.0	14.0	2.9
Z023E0148	160.0	90.0	110.0	14.0	4.8
Z023E0149	155.0	75.0	178.0	18.0	5.1
Z023E0150	95.0	40.0	NaN	NaN	NaN
Z023E0151	135.0	60.0	129.0	18.0	2.05
Z023E0152	160.0	80.0	106.5	16.0	3.15
Z023E0153	155.0	65.0	NaN	NaN	NaN
Z023E0154	115.0	40.0	NaN	NaN	NaN
Z023E0155	175.0	90.0	119.0	18.0	2.0
Z023E0156	160.0	70.0	NaN	NaN	NaN
Z023E0157	150.0	80.0	NaN	NaN	NaN
Z023E0158	155.0	70.0	148.0	16.0	2.8
Z023E0159	150.0	55.0	NaN	NaN	NaN
Z023E0160	165.0	70.0	182.0	16.0	3.7
Z023E0161	135.0	60.0	167.0	18.0	3.6
Z023E0162	120.0	50.0	NaN	NaN	NaN
Z023E0163	105.0	45.0	143.0	16.0	2.6
Z023E0164	170.0	70.0	185.0	22.0	4.5
Z023E0165	195.0	60.0	147.0	16.0	5.4
Z023E0166	165.0	65.0	151.0	18.0	3.8
Z023E0167	150.0	55.0	179.0	14.0	4.4
Z023E0168	145.0	60.0	NaN	18.0	2.6
Z023E0169	140.0	50.0	NaN	NaN	NaN
Z023E0170	135.0	55.0	NaN	NaN	3.3
Z023E0171	NaN	NaN	NaN	NaN	NaN
Z023E0172	125.0	50.0	118.0	15.0	2.4
Z023E0173	135.0	50.0	153.0	14.0	5.2
Z023E0174	140.0	55.0	118.0	14.0	2.8
Z023E0175	145.0	65.0	148.0	16.0	2.3
Z023E0176	170.0	70.0	154.0	20.0	2.25
Z023E0177	145.0	75.0	157.0	16.0	4.6
Z023E0178	150.0	55.0	140.0	18.0	3.8
Z023E0179	165.0	80.0	120.0	18.0	2.2
Z023E0180	110.0	45.0	117.0	17.0	3.3
Z023E0181	120.0	55.0	107.0	17.0	5.4
Z023E0182	150.0	65.0	100.0	16.0	2.6
Z023E0183	135.0	65.0	NaN	NaN	NaN
Z023E0184	140.0	60.0	88.0	16.0	3.6
Z023E0185	130.0	40.0	NaN	NaN	3.1
Z023E0186	170.0	75.0	143.0	16.0	NaN
Z023E0187	145.0	70.0	160.0	18.0	NaN
Z023E0188	180.0	80.0	124.0	17.0	2.8
Z023E0189	150.0	60.0	159.0	20.0	3.35
Z023E0190	185.0	90.0	166.0	20.0	2.8
Z023E0191	185.0	70.0	130.0	20.0	3.1
Z023E0192	165.0	75.0	116.0	16.0	2.4
Z023E0193	175.0	85.0	125.0	12.0	NaN
Z023E0194	200.0	95.0	166.0	16.0	3.9
Z023E0195	NaN	NaN	NaN	NaN	NaN
Z023E0196	125.0	45.0	150.0	16.0	2.2
Z023E0197	165.0	55.0	131.0	18.0	3.7
Z023E0198	150.0	80.0	114.0	NaN	2.0
Z023E0199	140.0	55.0	NaN	NaN	NaN
Z023E0200	145.0	55.0	122.0	16.0	2.5
Z023E0201	149.2857143	62.14285714	131.6	17.6	4.36
Z023E0202	NaN	NaN	160.75	16.0	3.8
Z023E0217	NaN	NaN	NaN	NaN	NaN
Z023E0225	NaN	NaN	NaN	NaN	NaN
Z023E0229	NaN	NaN	NaN	NaN	NaN
Z023E0230	NaN	NaN	NaN	NaN	NaN
Z023E0231	NaN	NaN	NaN	NaN	NaN
Z023E0265	NaN	NaN	NaN	NaN	NaN
Z023E0269	NaN	NaN	NaN	NaN	NaN
Z023E0272	NaN	NaN	NaN	NaN	NaN
Z023E0274	NaN	NaN	NaN	NaN	NaN
Z024E0001	140.0	50.0	149.0	18.0	3.6
Z024E0002	105.0	30.0	134.5	14.0	3.7
Z024E0003	170.0	70.0	143.5	16.0	2.9
Z024E0004	150.0	60.0	147.0	14.0	4.3
Z024E0005	140.0	45.0	122.0	12.0	4.5
Z024E0006	120.0	65.0	NaN	NaN	NaN
Z024E0007	160.0	65.0	121.0	14.0	NaN
Z024E0008	135.0	40.0	151.0	16.0	3.3
Z024E0009	105.0	40.0	NaN	NaN	NaN
Z024E0010	135.0	40.0	163.0	18.0	2.0
Z024E0011	152.5	37.5	147.0	14.0	3.2
Z024E0012	103.3333333	30.0	127.0	14.0	3.6
Z024E0013	137.5	45.0	123.0	19.0	4.35
Z024E0014	157.5	55.0	NaN	NaN	NaN
Z024E0015	135.0	60.0	113.5	16.0	3.0
Z024E0016	112.5	22.5	NaN	NaN	NaN
Z024E0017	120.0	20.0	106.0	12.0	0.8
Z024E0018	192.5	52.5	147.5	12.0	4.4
Z024E0019	180.0	72.5	125.0	18.0	2.2
Z024E0020	140.0	50.0	130.5	16.0	2.35
Z024E0021	170.0	72.5	NaN	NaN	NaN
Z024E0022	165.0	40.0	148.0	14.66666667	2.666666667
Z024E0023	120.0	35.0	100.0	12.0	2.55
Z024E0024	145.0	45.0	156.5	15.0	3.35
Z024E0025	130.0	40.0	NaN	NaN	NaN
Z024E0026	132.5	62.5	NaN	NaN	NaN
Z024E0027	145.0	55.0	123.5	15.0	3.9
Z024E0028	145.0	65.0	113.6666667	15.33333333	3.0
Z024E0029	140.0	42.5	129.0	14.0	3.2
Z024E0030	140.0	50.0	152.0	15.0	3.75
Z024E0031	135.0	40.0	137.5	12.0	5.2
Z024E0032	165.0	57.5	142.5	15.0	2.75
Z024E0033	145.0	55.0	129.0	13.0	4.8
Z024E0034	145.0	40.0	131.0	18.0	3.8
Z024E0035	145.0	40.0	NaN	NaN	NaN
Z024E0036	175.0	60.0	120.0	14.0	NaN
Z024E0037	137.5	50.0	124.0	17.0	2.1
Z024E0038	165.0	80.0	158.0	16.0	3.15
Z024E0039	142.5	35.0	NaN	NaN	NaN
Z024E0040	140.0	45.0	153.0	16.0	2.8
Z024E0041	105.0	25.0	NaN	14.0	3.1
Z024E0042	150.0	65.0	114.6666667	11.33333333	4.1
Z024E0043	90.0	20.0	97.0	12.0	NaN
Z024E0044	150.0	60.0	157.0	16.0	2.5
Z024E0045	160.0	55.0	142.0	14.0	3.1
Z024E0046	NaN	NaN	NaN	NaN	NaN
Z024E0047	150.0	75.0	128.5	14.0	3.1
Z024E0048	150.0	50.0	119.0	18.0	2.2
Z024E0049	120.0	35.0	NaN	NaN	3.0
Z024E0050	NaN	NaN	NaN	NaN	NaN
Z024E0051	125.0	40.0	141.0	18.0	2.5
Z024E0052	165.0	70.0	NaN	NaN	NaN
Z024E0053	95.0	25.0	117.5	15.0	3.5
Z024E0054	127.5	25.0	135.0	12.0	2.1
Z024E0055	100.0	25.0	118.0	12.0	2.8
Z024E0056	125.0	50.0	121.5	13.0	3.55
Z024E0057	145.0	45.0	152.0	12.0	3.3
Z024E0058	145.0	55.0	125.5	18.0	3.275
Z024E0059	135.0	30.0	123.0	16.0	3.266666667
Z024E0060	175.0	70.0	115.0	16.0	3.2
Z024E0061	110.0	25.0	NaN	NaN	NaN
Z024E0062	140.0	45.0	98.0	11.0	5.65
Z024E0063	135.0	50.0	125.0	14.0	5.1
Z024E0064	125.0	30.0	150.0	14.0	3.0
Z024E0065	100.0	25.0	144.0	16.0	3.1
Z024E0066	175.0	82.5	97.0	16.0	3.1
Z024E0067	140.0	45.0	125.0	12.0	3.45
Z024E0068	132.5	35.0	NaN	NaN	NaN
Z024E0069	115.0	35.0	107.0	14.0	1.3
Z024E0070	120.0	40.0	108.0	20.0	1.9
Z024E0071	110.0	40.0	146.0	16.0	2.3
Z024E0072	150.0	45.0	163.0	15.0	2.3
Z024E0073	130.0	45.0	106.0	13.0	4.25
Z024E0074	130.0	45.0	149.5	12.0	4.1
Z024E0075	120.0	40.0	144.0	16.0	2.4
Z024E0076	175.0	95.0	165.0	18.0	3.2
Z024E0077	110.0	25.0	137.0	16.0	2.9
Z024E0078	125.0	40.0	127.0	NaN	5.2
Z024E0079	135.0	35.0	136.5	19.0	2.85
Z024E0080	175.0	85.0	139.0	14.0	3.8
Z024E0081	150.0	52.5	122.0	12.0	3.4
Z024E0082	125.0	35.0	131.0	20.0	2.6
Z024E0083	170.0	60.0	137.0	16.0	2.7
Z024E0084	110.0	35.0	116.5	14.0	4.3
Z024E0085	155.0	60.0	129.0	16.0	4.5
Z024E0086	125.0	40.0	153.0	12.0	2.5
Z024E0087	140.0	47.5	108.0	12.0	4.7
Z024E0088	125.0	40.0	141.5	17.0	3.7
Z024E0089	140.0	37.5	130.5	14.0	3.95
Z024E0090	140.0	55.0	82.0	16.0	4.5
Z024E0091	145.0	60.0	114.0	13.0	3.2
Z024E0092	175.0	80.0	NaN	NaN	NaN
Z024E0093	142.5	47.5	115.3333333	14.0	4.733333333
Z024E0094	120.0	45.0	134.0	12.0	3.1
Z024E0095	120.0	40.0	113.5	22.0	2.1
Z024E0096	110.0	35.0	NaN	NaN	NaN
Z024E0097	135.0	45.0	139.0	15.0	3.5
Z024E0098	135.0	35.0	NaN	NaN	NaN
Z024E0099	135.0	60.0	153.5	16.0	2.4
Z024E0100	145.0	50.0	134.5	14.5	4.1
Z024E0101	120.0	45.0	136.0	14.0	2.5
Z024E0102	160.0	65.0	126.5	17.0	4.85
Z024E0103	115.0	50.0	146.5	13.0	2.75
Z024E0104	105.0	40.0	108.5	14.0	3.25
Z024E0105	125.0	45.0	NaN	NaN	NaN
Z024E0106	180.0	80.0	145.0	17.0	2.95
Z024E0107	145.0	60.0	144.0	12.0	4.85
Z024E0108	95.0	45.0	126.0	14.0	1.8
Z024E0109	107.5	25.0	NaN	NaN	NaN
Z024E0110	103.3333333	45.0	86.0	16.0	2.8
Z024E0111	85.0	25.0	NaN	NaN	NaN
Z024E0112	132.5	32.5	NaN	NaN	NaN
Z024E0113	137.5	52.5	125.5	12.0	3.7
Z024E0114	140.0	35.0	110.0	13.0	2.6
Z024E0115	145.0	60.0	137.0	14.0	2.1
Z024E0116	132.5	30.0	88.5	12.5	4.1
Z024E0117	165.0	80.0	137.0	18.0	4.15
Z024E0118	125.0	40.0	124.5	16.0	2.75
Z024E0119	150.0	55.0	NaN	NaN	NaN
Z024E0120	155.0	70.0	163.0	16.0	2.8
Z024E0121	100.0	40.0	100.0	11.0	4.25
Z024E0122	NaN	40.0	160.0	18.0	2.2
Z024E0123	100.0	40.0	94.5	12.0	2.25
Z024E0124	142.5	47.5	134.0	18.0	2.5
Z024E0125	NaN	NaN	NaN	NaN	NaN
Z024E0126	126.6666667	45.0	NaN	NaN	NaN
Z024E0127	135.0	40.0	NaN	NaN	NaN
Z024E0128	145.0	45.0	142.0	12.0	2.2
Z024E0129	100.0	45.0	NaN	NaN	NaN
Z024E0130	127.5	32.5	121.0	14.0	2.5
Z024E0131	145.0	40.0	115.5	15.0	3.65
Z024E0132	137.5	42.5	NaN	NaN	NaN
Z024E0133	115.0	45.0	122.0	16.0	3.8
Z024E0134	185.0	65.0	156.0	14.0	4.2
Z024E0135	157.5	40.0	135.0	18.0	3.2
Z024E0136	140.0	55.0	140.0	19.0	2.3
Z024E0137	142.5	37.5	114.0	16.0	3.5
Z024E0138	145.0	37.5	110.0	14.0	3.5
Z024E0139	135.0	40.0	NaN	NaN	NaN
Z024E0140	100.0	25.0	112.0	14.0	2.6
Z024E0141	160.0	60.0	129.0	16.0	3.8
Z024E0142	125.0	30.0	109.0	16.0	3.0
Z024E0143	150.0	80.0	157.5	14.0	3.4
Z024E0144	130.0	45.0	134.5	15.0	3.45
Z024E0145	101.6666667	45.0	NaN	NaN	NaN
Z024E0146	160.0	52.5	156.5	14.0	3.05
Z024E0147	190.0	75.0	131.0	16.0	4.6
Z024E0148	150.0	65.0	133.0	17.0	3.2
Z024E0149	145.0	45.0	90.5	14.0	NaN
Z024E0150	125.0	35.0	138.0	13.0	2.6
Z024E0151	95.0	25.0	NaN	NaN	NaN
Z024E0152	150.0	55.0	124.25	17.5	3.175
Z024E0153	130.0	40.0	114.5	15.0	2.1
Z024E0154	160.0	55.0	122.5	12.0	4.8
Z024E0155	120.0	45.0	118.0	12.0	2.45
Z024E0156	155.0	65.0	NaN	NaN	NaN
Z024E0157	150.0	40.0	130.0	14.0	4.0
Z024E0158	150.0	70.0	124.0	12.0	3.15
Z024E0159	145.0	50.0	135.0	17.0	2.55
Z024E0160	162.5	60.0	100.0	14.0	5.2
Z024E0161	115.0	35.0	NaN	NaN	NaN
Z024E0162	95.0	25.0	90.0	17.0	1.8
Z024E0163	120.0	40.0	121.0	12.0	2.05
Z024E0164	125.0	40.0	106.0	16.0	3.15
Z024E0165	152.5	55.0	115.5	14.0	4.15
Z024E0166	130.0	50.0	119.0	17.0	2.1
Z024E0167	105.0	35.0	105.0	10.0	2.2
Z024E0168	160.0	50.0	132.5	18.0	3.15
Z024E0169	150.0	70.0	172.5	14.0	2.55
Z024E0170	105.0	27.5	129.0	13.33333333	4.733333333
Z024E0171	145.0	60.0	111.0	14.0	3.5
Z024E0172	130.0	40.0	141.0	16.0	3.1
Z024E0173	155.0	37.5	139.0	17.0	3.05
Z024E0174	117.5	42.5	NaN	NaN	NaN
Z024E0175	145.0	80.0	166.0	14.0	2.4
Z024E0176	NaN	NaN	NaN	NaN	NaN
Z024E0177	165.0	75.0	120.0	16.0	4.1
Z024E0178	170.0	85.0	147.0	17.0	2.65
Z024E0179	135.0	45.0	98.0	12.0	NaN
Z024E0180	125.0	35.0	150.0	13.0	3.0
Z024E0181	135.0	40.0	109.0	17.0	2.8
Z024E0182	105.0	50.0	157.0	16.0	2.9
Z024E0183	155.0	40.0	NaN	NaN	NaN
Z024E0184	130.0	40.0	NaN	NaN	NaN
Z024E0185	157.5	47.5	123.5	14.0	3.8
Z024E0186	110.0	25.0	75.0	12.0	2.6
Z024E0187	137.5	27.5	114.0	12.0	4.9
Z024E0188	135.0	55.0	150.0	13.0	3.55
Z024E0189	100.0	20.0	NaN	NaN	NaN
Z024E0190	155.0	60.0	174.5	14.0	2.85
Z024E0191	115.0	27.5	123.0	14.0	1.8
Z024E0192	165.0	70.0	115.0	14.0	4.4
Z024E0193	125.0	35.0	114.3333333	15.33333333	2.533333333
Z024E0194	NaN	NaN	NaN	NaN	NaN
Z024E0195	150.0	65.0	145.0	16.0	NaN
Z024E0196	110.0	35.0	108.5	16.0	3.4
Z024E0197	155.0	65.0	148.0	13.0	4.2
Z024E0198	160.0	60.0	110.0	12.0	4.6
Z024E0199	155.0	65.0	NaN	NaN	3.3
Z024E0200	150.0	50.0	150.0	17.66666667	2.65
Z024E0201	170.3846154	NaN	133.9090909	NaN	4.9
Z024E0202	109.2307692	29.61538462	133.8181818	NaN	2.872727273
Z024E0203	NaN	NaN	NaN	NaN	NaN
Z024E0205	NaN	NaN	NaN	NaN	NaN
Z024E0212	NaN	NaN	NaN	NaN	NaN
Z024E0268	NaN	NaN	NaN	NaN	NaN
Z024E0273	NaN	NaN	NaN	NaN	NaN
Z024E0289	NaN	NaN	NaN	NaN	NaN
Z025E0001	195.0	105.0	NaN	NaN	5.9
Z025E0002	190.0	85.0	123.0	16.0	3.3
Z025E0003	270.0	160.0	NaN	NaN	NaN
Z025E0004	185.0	110.0	NaN	NaN	4.7
Z025E0005	175.0	90.0	141.0	12.0	5.2
Z025E0006	NaN	NaN	NaN	NaN	NaN
Z025E0007	180.0	95.0	146.5	13.0	4.3
Z025E0008	185.0	80.0	144.5	16.0	3.45
Z025E0009	155.0	90.0	153.0	18.0	4.2
Z025E0010	215.0	105.0	NaN	NaN	3.5
Z025E0011	235.0	135.0	174.0	16.0	7.1
Z025E0012	185.0	115.0	137.5	15.0	3.75
Z025E0013	165.0	100.0	94.0	13.0	3.1
Z025E0014	160.0	90.0	181.0	14.0	3.2
Z025E0015	150.0	70.0	154.0	14.0	4.9
Z025E0016	140.0	60.0	124.0	14.0	3.4
Z025E0017	175.0	95.0	NaN	NaN	4.35
Z025E0018	200.0	110.0	NaN	NaN	4.3
Z025E0019	195.0	90.0	NaN	NaN	4.5
Z025E0020	215.0	135.0	NaN	NaN	4.4
Z025E0021	200.0	120.0	NaN	NaN	NaN
Z025E0022	190.0	85.0	NaN	NaN	4.3
Z025E0023	165.0	80.0	111.0	14.0	3.5
Z025E0024	190.0	85.0	NaN	NaN	3.1
Z025E0025	180.0	85.0	128.0	12.0	4.0
Z025E0026	225.0	115.0	NaN	NaN	5.7
Z025E0027	175.0	110.0	115.0	13.0	2.7
Z025E0028	200.0	100.0	NaN	NaN	4.9
Z025E0029	150.0	100.0	108.5	17.0	4.3
Z025E0030	210.0	120.0	NaN	NaN	6.5
Z025E0031	145.0	75.0	149.0	14.0	3.1
Z025E0032	165.0	70.0	144.0	14.0	3.6
Z025E0033	185.0	100.0	NaN	NaN	2.6
Z025E0034	210.0	130.0	NaN	NaN	4.4
Z025E0035	200.0	105.0	NaN	NaN	3.7
Z025E0036	200.0	130.0	NaN	NaN	4.6
Z025E0037	235.0	120.0	NaN	NaN	5.05
Z025E0038	200.0	95.0	NaN	NaN	3.9
Z025E0039	165.0	75.0	131.5	15.0	4.5
Z025E0040	195.0	100.0	NaN	NaN	3.7
Z025E0041	195.0	110.0	NaN	NaN	3.8
Z025E0042	185.0	110.0	124.0	10.0	3.4
Z025E0043	170.0	90.0	NaN	NaN	NaN
Z025E0044	195.0	120.0	NaN	NaN	4.65
Z025E0045	180.0	90.0	NaN	NaN	3.6
Z025E0046	185.0	100.0	NaN	NaN	NaN
Z025E0047	175.0	90.0	156.0	14.0	NaN
Z025E0048	125.0	65.0	NaN	NaN	3.1
Z025E0049	210.0	130.0	NaN	NaN	2.9
Z025E0050	190.0	125.0	NaN	NaN	NaN
Z025E0051	180.0	85.0	109.0	14.0	2.9
Z025E0052	210.0	135.0	95.0	12.0	4.3
Z025E0053	150.0	80.0	89.0	10.0	3.7
Z025E0054	NaN	NaN	NaN	NaN	NaN
Z025E0055	210.0	100.0	NaN	NaN	5.15
Z025E0056	220.0	155.0	101.0	14.0	3.6
Z025E0057	215.0	115.0	144.5	14.0	3.4
Z025E0058	200.0	85.0	NaN	NaN	NaN
Z025E0059	150.0	85.0	NaN	NaN	5.3
Z025E0060	215.0	110.0	NaN	NaN	3.2
Z025E0061	210.0	120.0	NaN	NaN	3.5
Z025E0062	220.0	125.0	NaN	NaN	6.55
Z025E0063	215.0	120.0	NaN	NaN	5.8
Z025E0064	180.0	120.0	NaN	NaN	NaN
Z025E0065	185.0	115.0	NaN	NaN	3.0
Z025E0066	160.0	95.0	104.0	16.0	4.2
Z025E0067	195.0	125.0	120.0	16.0	6.5
Z025E0068	200.0	120.0	NaN	NaN	3.0
Z025E0069	120.0	65.0	103.0	14.0	3.9
Z025E0070	170.0	115.0	NaN	NaN	2.5
Z025E0071	155.0	75.0	138.0	12.0	4.05
Z025E0072	135.0	55.0	140.0	12.0	4.7
Z025E0073	195.0	120.0	NaN	NaN	3.2
Z025E0074	195.0	90.0	122.0	16.0	4.2
Z025E0075	225.0	115.0	NaN	NaN	4.7
Z025E0076	150.0	90.0	109.0	16.0	3.0
Z025E0077	160.0	105.0	97.0	14.0	3.7
Z025E0078	160.0	85.0	NaN	NaN	NaN
Z025E0079	220.0	115.0	NaN	NaN	NaN
Z025E0080	175.0	105.0	NaN	NaN	NaN
Z025E0081	160.0	85.0	135.0	16.0	2.6
Z025E0082	125.0	60.0	82.0	14.0	2.8
Z025E0083	165.0	80.0	127.0	18.0	3.7
Z025E0084	180.0	95.0	103.0	16.0	3.2
Z025E0085	210.0	125.0	142.0	16.0	5.5
Z025E0086	210.0	125.0	NaN	NaN	3.4
Z025E0087	165.0	90.0	147.5	12.0	4.3
Z025E0088	165.0	105.0	NaN	NaN	NaN
Z025E0089	180.0	90.0	123.5	12.0	3.9
Z025E0090	175.0	100.0	NaN	NaN	NaN
